Type of traveling,Objective,Public/Private,Organization,Type of vehicle,Date,Unit,Total
Air,Inter-provincial travel,Public,ทย.,Regional airports,6/3/2025,people,"20,179"
Air,Inter-provincial travel,Public,กพท.,U-Tapao Airport,6/3/2025,people,263
Air,Inter-provincial travel,Public,กพท.,Samui Airport,6/3/2025,people,"4,053"
road,International traveling,Public,บขส.,Bus Inbound,6/3/2025,people,590
road,International traveling,Public,บขส.,Bus Outbound,6/3/2025,people,"1,546"
Railway,International traveling,Public,รฟท.,Train Inbound,6/3/2025,people,186
Railway,International traveling,Public,รฟท.,Train Outbound,6/3/2025,people,216
River,International traveling,Public,จท.,Border Port Inbound,6/3/2025,people,"2,336"
River,International traveling,Public,จท.,Border Port Outbound,6/3/2025,people,"2,277"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Inbound,6/3/2025,people,"66,841"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Outbound,6/3/2025,people,"61,890"
Air,International traveling,Public,ทอท.,Don Mueang Airport Inbound,6/3/2025,people,"14,937"
Air,International traveling,Public,ทอท.,Don Mueang Airport Outbound,6/3/2025,people,"14,656"
Air,International traveling,Public,ทอท.,Other AOT Airports Inbound,6/3/2025,people,"20,517"
Air,International traveling,Public,ทอท.,Other AOT Airports Outbound,6/3/2025,people,"21,819"
Air,International traveling,Public,ทย.,Regional Airports Inbound,6/3/2025,people,990
Air,International traveling,Public,ทย.,Regional Airports Outbound,6/3/2025,people,"1,677"
road,Inter-provincial travel,Public,บขส.,Buses and Shared Buses,7/3/2025,people,"102,594"
road,Inter-provincial travel,Public,ขบ.,Car Category 3,7/3/2025,people,"5,572"
road,Inter-provincial travel,Private,ทล.,4-wheel vehicles (10 survey points),7/3/2025,Units,
road,Inter-provincial travel,Private,ทล.,All types of vehicles (10 survey points),7/3/2025,Units,
road,Inter-provincial travel,Private,กทพ.,4-wheel vehicles (expressway),7/3/2025,Units,"1,698,545"
road,Inter-provincial travel,Private,กทพ.,All types of vehicles (expressway),7/3/2025,Units,"1,772,290"
road,within Bangkok,Public,ขบ.,Category 4,7/3/2025,people,"1,030"
road,within Bangkok,Public,ขสมก.,BMTA buses,7/3/2025,people,"522,125"
road,within Bangkok,Public,ขสมก.,Shared buses (Category 1),7/3/2025,people,0
road,within Bangkok,Public,ขบ.,Private buses on the Pataprom route (Category 1),7/3/2025,people,"357,250"
River,within Bangkok,Public,จท.,Chao Phraya Express Boat,7/3/2025,people,"12,832"
River,within Bangkok,Public,จท.,Saen Saep Canal Boat,7/3/2025,people,"23,251"
River,within Bangkok,Public,จท.,Chao Phraya Ferry,7/3/2025,people,"24,145"
River,within Bangkok,Public,จท.,Chao Phraya Electric Boat,7/3/2025,people,"2,840"
River,within Bangkok,Public,จท.,Regional boats,7/3/2025,people,"193,689"
Railway,Inter-provincial travel,Public,รฟท.,Trains,7/3/2025,people,"80,497"
Railway,within Bangkok,Public,รฟม.,Blue Line electric trains,7/3/2025,people,"501,061"
Railway,within Bangkok,Public,รฟม.,Purple Line electric trains,7/3/2025,people,"80,639"
Railway,within Bangkok,Public,รฟม.,Yellow Line electric trains,7/3/2025,people,"51,689"
Railway,within Bangkok,Public,รฟม.,Pink Line electric trains,7/3/2025,people,"73,633"
Railway,within Bangkok,Public,รฟฟท.,ARL electric trains,7/3/2025,people,"76,865"
Railway,within Bangkok,Public,กทม.,BTS electric trains,7/3/2025,people,"846,321"
Railway,within Bangkok,Public,รฟฟท.,Red Line electric trains,7/3/2025,people,"44,328"
Air,Inter-provincial travel,Public,ทอท.,Suvarnabhumi Airport,7/3/2025,people,"17,858"
Air,Inter-provincial travel,Public,ทอท.,Don Mueang Airport,7/3/2025,people,"28,002"
Air,Inter-provincial travel,Public,ทอท.,Other AOT airports,7/3/2025,people,"26,819"
Air,Inter-provincial travel,Public,ทย.,Regional airports,7/3/2025,people,"22,020"
Air,Inter-provincial travel,Public,กพท.,U-Tapao Airport,7/3/2025,people,138
Air,Inter-provincial travel,Public,กพท.,Samui Airport,7/3/2025,people,"3,982"
road,International traveling,Public,บขส.,Bus Inbound,7/3/2025,people,516
road,International traveling,Public,บขส.,Bus Outbound,7/3/2025,people,"1,479"
Railway,International traveling,Public,รฟท.,Train Inbound,7/3/2025,people,271
Railway,International traveling,Public,รฟท.,Train Outbound,7/3/2025,people,214
River,International traveling,Public,จท.,Border Port Inbound,7/3/2025,people,"2,571"
River,International traveling,Public,จท.,Border Port Outbound,7/3/2025,people,"2,577"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Inbound,7/3/2025,people,"70,538"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Outbound,7/3/2025,people,"64,110"
Air,International traveling,Public,ทอท.,Don Mueang Airport Inbound,7/3/2025,people,"16,485"
Air,International traveling,Public,ทอท.,Don Mueang Airport Outbound,7/3/2025,people,"15,822"
Air,International traveling,Public,ทอท.,Other AOT Airports Inbound,7/3/2025,people,"21,309"
Air,International traveling,Public,ทอท.,Other AOT Airports Outbound,7/3/2025,people,"22,402"
Air,International traveling,Public,ทย.,Regional Airports Inbound,7/3/2025,people,669
Air,International traveling,Public,ทย.,Regional Airports Outbound,7/3/2025,people,"1,346"
road,Inter-provincial travel,Public,บขส.,Buses and Shared Buses,8/3/2025,people,"83,830"
road,Inter-provincial travel,Public,ขบ.,Car Category 3,8/3/2025,people,"5,357"
road,Inter-provincial travel,Private,ทล.,4-wheel vehicles (10 survey points),8/3/2025,Units,
road,Inter-provincial travel,Private,ทล.,All types of vehicles (10 survey points),8/3/2025,Units,
road,Inter-provincial travel,Private,กทพ.,4-wheel vehicles (expressway),8/3/2025,Units,"1,580,739"
road,Inter-provincial travel,Private,กทพ.,All types of vehicles (expressway),8/3/2025,Units,"1,637,334"
road,within Bangkok,Public,ขบ.,Category 4,8/3/2025,people,332
road,within Bangkok,Public,ขสมก.,BMTA buses,8/3/2025,people,"441,166"
road,within Bangkok,Public,ขสมก.,Shared buses (Category 1),8/3/2025,people,0
road,within Bangkok,Public,ขบ.,Private buses on the Pataprom route (Category 1),8/3/2025,people,"293,376"
River,within Bangkok,Public,จท.,Chao Phraya Express Boat,8/3/2025,people,"6,914"
River,within Bangkok,Public,จท.,Saen Saep Canal Boat,8/3/2025,people,"7,314"
River,within Bangkok,Public,จท.,Chao Phraya Ferry,8/3/2025,people,"24,158"
River,within Bangkok,Public,จท.,Chao Phraya Electric Boat,8/3/2025,people,"3,520"
River,within Bangkok,Public,จท.,Regional boats,8/3/2025,people,"193,011"
Railway,Inter-provincial travel,Public,รฟท.,Trains,8/3/2025,people,"71,304"
Railway,within Bangkok,Public,รฟม.,Blue Line electric trains,8/3/2025,people,"342,770"
Railway,within Bangkok,Public,รฟม.,Purple Line electric trains,8/3/2025,people,"49,032"
Railway,within Bangkok,Public,รฟม.,Yellow Line electric trains,8/3/2025,people,"37,231"
Railway,within Bangkok,Public,รฟม.,Pink Line electric trains,8/3/2025,people,"47,115"
Railway,within Bangkok,Public,รฟฟท.,ARL electric trains,8/3/2025,people,"57,423"
Railway,within Bangkok,Public,กทม.,BTS electric trains,8/3/2025,people,"623,078"
Railway,within Bangkok,Public,รฟฟท.,Red Line electric trains,8/3/2025,people,"29,862"
Air,Inter-provincial travel,Public,ทอท.,Suvarnabhumi Airport,8/3/2025,people,"19,233"
Air,Inter-provincial travel,Public,ทอท.,Don Mueang Airport,8/3/2025,people,"27,281"
Air,Inter-provincial travel,Public,ทอท.,Other AOT airports,8/3/2025,people,"25,714"
Air,Inter-provincial travel,Public,ทย.,Regional airports,8/3/2025,people,"20,179"
Air,Inter-provincial travel,Public,กพท.,U-Tapao Airport,8/3/2025,people,127
Air,Inter-provincial travel,Public,กพท.,Samui Airport,8/3/2025,people,"4,239"
road,International traveling,Public,บขส.,Bus Inbound,8/3/2025,people,
road,International traveling,Public,บขส.,Bus Outbound,8/3/2025,people,
Railway,International traveling,Public,รฟท.,Train Inbound,8/3/2025,people,308
Railway,International traveling,Public,รฟท.,Train Outbound,8/3/2025,people,245
River,International traveling,Public,จท.,Border Port Inbound,8/3/2025,people,"2,330"
River,International traveling,Public,จท.,Border Port Outbound,8/3/2025,people,"2,466"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Inbound,8/3/2025,people,"70,635"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Outbound,8/3/2025,people,"65,559"
Air,International traveling,Public,ทอท.,Don Mueang Airport Inbound,8/3/2025,people,"15,442"
Air,International traveling,Public,ทอท.,Don Mueang Airport Outbound,8/3/2025,people,"14,913"
Air,International traveling,Public,ทอท.,Other AOT Airports Inbound,8/3/2025,people,"21,792"
Air,International traveling,Public,ทอท.,Other AOT Airports Outbound,8/3/2025,people,"23,629"
Air,International traveling,Public,ทย.,Regional Airports Inbound,8/3/2025,people,847
Air,International traveling,Public,ทย.,Regional Airports Outbound,8/3/2025,people,"1,378"
road,Inter-provincial travel,Public,บขส.,Buses and Shared Buses,9/3/2025,people,"84,009"
road,Inter-provincial travel,Public,ขบ.,Car Category 3,9/3/2025,people,"2,377"
road,Inter-provincial travel,Private,ทล.,4-wheel vehicles (10 survey points),9/3/2025,Units,
road,Inter-provincial travel,Private,ทล.,All types of vehicles (10 survey points),9/3/2025,Units,
road,Inter-provincial travel,Private,กทพ.,4-wheel vehicles (expressway),9/3/2025,Units,"1,390,378"
road,Inter-provincial travel,Private,กทพ.,All types of vehicles (expressway),9/3/2025,Units,"1,424,647"
road,within Bangkok,Public,ขบ.,Category 4,9/3/2025,people,871
road,within Bangkok,Public,ขสมก.,BMTA buses,9/3/2025,people,"405,920"
road,within Bangkok,Public,ขสมก.,Shared buses (Category 1),9/3/2025,people,0
road,within Bangkok,Public,ขบ.,Private buses on the Pataprom route (Category 1),9/3/2025,people,"272,746"
River,within Bangkok,Public,จท.,Chao Phraya Express Boat,9/3/2025,people,"5,912"
River,within Bangkok,Public,จท.,Saen Saep Canal Boat,9/3/2025,people,"7,238"
River,within Bangkok,Public,จท.,Chao Phraya Ferry,9/3/2025,people,"24,511"
River,within Bangkok,Public,จท.,Chao Phraya Electric Boat,9/3/2025,people,"3,715"
River,within Bangkok,Public,จท.,Regional boats,9/3/2025,people,"194,410"
Railway,Inter-provincial travel,Public,รฟท.,Trains,9/3/2025,people,"78,923"
Railway,within Bangkok,Public,รฟม.,Blue Line electric trains,9/3/2025,people,"289,184"
Railway,within Bangkok,Public,รฟม.,Purple Line electric trains,9/3/2025,people,"41,832"
Railway,within Bangkok,Public,รฟม.,Yellow Line electric trains,9/3/2025,people,"32,354"
Railway,within Bangkok,Public,รฟม.,Pink Line electric trains,9/3/2025,people,"44,800"
Railway,within Bangkok,Public,รฟฟท.,ARL electric trains,9/3/2025,people,"49,968"
Railway,within Bangkok,Public,กทม.,BTS electric trains,9/3/2025,people,"515,037"
Railway,within Bangkok,Public,รฟฟท.,Red Line electric trains,9/3/2025,people,"27,071"
Air,Inter-provincial travel,Public,ทอท.,Suvarnabhumi Airport,9/3/2025,people,"18,219"
Air,Inter-provincial travel,Public,ทอท.,Don Mueang Airport,9/3/2025,people,"29,718"
Air,Inter-provincial travel,Public,ทอท.,Other AOT airports,9/3/2025,people,"25,969"
Air,Inter-provincial travel,Public,ทย.,Regional airports,9/3/2025,people,"20,071"
Air,Inter-provincial travel,Public,กพท.,U-Tapao Airport,9/3/2025,people,275
Air,Inter-provincial travel,Public,กพท.,Samui Airport,9/3/2025,people,"4,366"
road,International traveling,Public,บขส.,Bus Inbound,9/3/2025,people,634
road,International traveling,Public,บขส.,Bus Outbound,9/3/2025,people,"1,371"
Railway,International traveling,Public,รฟท.,Train Inbound,9/3/2025,people,256
Railway,International traveling,Public,รฟท.,Train Outbound,9/3/2025,people,401
River,International traveling,Public,จท.,Border Port Inbound,9/3/2025,people,"2,654"
River,International traveling,Public,จท.,Border Port Outbound,9/3/2025,people,"2,379"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Inbound,9/3/2025,people,"72,998"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Outbound,9/3/2025,people,"66,633"
Air,International traveling,Public,ทอท.,Don Mueang Airport Inbound,9/3/2025,people,"17,428"
Air,International traveling,Public,ทอท.,Don Mueang Airport Outbound,9/3/2025,people,"17,889"
Air,International traveling,Public,ทอท.,Other AOT Airports Inbound,9/3/2025,people,"19,175"
Air,International traveling,Public,ทอท.,Other AOT Airports Outbound,9/3/2025,people,"23,094"
Air,International traveling,Public,ทย.,Regional Airports Inbound,9/3/2025,people,658
Air,International traveling,Public,ทย.,Regional Airports Outbound,9/3/2025,people,"1,179"
road,Inter-provincial travel,Public,บขส.,Buses and Shared Buses,10/3/2025,people,"82,176"
road,Inter-provincial travel,Public,ขบ.,Car Category 3,10/3/2025,people,"5,374"
road,Inter-provincial travel,Private,ทล.,4-wheel vehicles (10 survey points),10/3/2025,Units,
road,Inter-provincial travel,Private,ทล.,All types of vehicles (10 survey points),10/3/2025,Units,
road,Inter-provincial travel,Private,กทพ.,4-wheel vehicles (expressway),10/3/2025,Units,"1,614,091"
road,Inter-provincial travel,Private,กทพ.,All types of vehicles (expressway),10/3/2025,Units,"1,685,018"
road,within Bangkok,Public,ขบ.,Category 4,10/3/2025,people,"1,036"
road,within Bangkok,Public,ขสมก.,BMTA buses,10/3/2025,people,"540,144"
road,within Bangkok,Public,ขสมก.,Shared buses (Category 1),10/3/2025,people,0
road,within Bangkok,Public,ขบ.,Private buses on the Pataprom route (Category 1),10/3/2025,people,"360,348"
River,within Bangkok,Public,จท.,Chao Phraya Express Boat,10/3/2025,people,"12,431"
River,within Bangkok,Public,จท.,Saen Saep Canal Boat,10/3/2025,people,"23,018"
River,within Bangkok,Public,จท.,Chao Phraya Ferry,10/3/2025,people,"23,809"
River,within Bangkok,Public,จท.,Chao Phraya Electric Boat,10/3/2025,people,"2,685"
River,within Bangkok,Public,จท.,Regional boats,10/3/2025,people,"188,123"
Railway,Inter-provincial travel,Public,รฟท.,Trains,10/3/2025,people,"75,954"
Railway,within Bangkok,Public,รฟม.,Blue Line electric trains,10/3/2025,people,"469,071"
Railway,within Bangkok,Public,รฟม.,Purple Line electric trains,10/3/2025,people,"79,319"
Railway,within Bangkok,Public,รฟม.,Yellow Line electric trains,10/3/2025,people,"46,642"
Railway,within Bangkok,Public,รฟม.,Pink Line electric trains,10/3/2025,people,"67,013"
Railway,within Bangkok,Public,รฟฟท.,ARL electric trains,10/3/2025,people,"73,062"
Railway,within Bangkok,Public,กทม.,BTS electric trains,10/3/2025,people,"788,231"
Railway,within Bangkok,Public,รฟฟท.,Red Line electric trains,10/3/2025,people,"40,189"
Air,Inter-provincial travel,Public,ทอท.,Suvarnabhumi Airport,10/3/2025,people,"17,414"
Air,Inter-provincial travel,Public,ทอท.,Don Mueang Airport,10/3/2025,people,"28,105"
Air,Inter-provincial travel,Public,ทอท.,Other AOT airports,10/3/2025,people,"26,549"
